Congress_id,Name,State,Twitter,Facebook,Position
1,Richard Shelby,Alabama,@SenShelby,https://www.facebook.com/RichardShelby,Senate
2,Doug Jones,Alabama,@DougJones,https://www.facebook.com/senatordougjones/,Senate
3,Dan Sullivan,Alaska,@SenDanSullivan,https://www.facebook.com/SenDanSullivan,Senate
4,Lisa Murkowski,Alaska,@lisamurkowski,https://www.facebook.com/SenLisaMurkowski,Senate
5,Martha McSally,Arizona,@SenMcSallyAZ,https://www.facebook.com/SenMarthaMcSally/,Senate
6,Kyrsten Sinema,Arizona,@SenatorSinema,https://www.facebook.com/KyrstenSinema/,Senate
7,Tom Cotton,Arkansas,@SenTomCotton,https://www.facebook.com/SenatorTomCotton,Senate
8,John Boozman,Arkansas,@JohnBoozman,https://www.facebook.com/JohnBoozman,Senate
9,Dianne Feinstein,California,@SenFeinstein,https://www.facebook.com/SenatorFeinstein,Senate
10,Kamala Harris,California,@KamalaHarris,https://www.facebook.com/KamalaHarris,Senate
11,Cory Gardner,Colorado,@SenCoryGardner,https://www.facebook.com/SenCoryGardner,Senate
12,Michael Bennet,Colorado,SenatorBennet,https://www.facebook.com/senatorbennet,Senate
13,Chris Murphy,Connecticut,@ChrisMurphyCT,https://www.facebook.com/ChrisMurphyCT,Senate
14,Richard Blumenthal,Connecticut,@SenBlumenthal,https://www.facebook.com/SenBlumenthal,Senate
15,Chris Coons,Delaware,@SenCoonsOffice,https://www.facebook.com/chriscoons,Senate
16,Thomas Carper,Delaware,@SenatorCarper,https://www.facebook.com/tomcarper,Senate
17,Marco Rubio,Florida,@marcorubio,https://www.facebook.com/MarcoRubio,Senate
18,Rick Scott,Florida,@ScottforFlorida,https://www.facebook.com/RickScottSenOffice/,Senate
19,David Perdue,Georgia,@sendavidperdue,https://www.facebook.com/perduesenate,Senate
20,Johnny Isakson,Georgia,@SenatorIsakson,https://www.facebook.com/isakson,Senate
21,Brian Schatz,Hawaii,@SenBrianSchatz,https://www.facebook.com/BrianSchatz,Senate
22,Mazie Hirono,Hawaii,@maziehirono,https://www.facebook.com/mazie.hirono,Senate
23,Jim Risch,Idaho,@SenatorRisch,https://www.facebook.com/pages/Jim-Risch/107379405951426,Senate
24,Mike Crapo,Idaho,@MikeCrapo,https://www.facebook.com/mikecrapo,Senate
25,Tammy Duckworth,Illinois,SenDuckworth,https://www.facebook.com/SenDuckworth,Senate
26,Richard Durbin,Illinois,@SenatorDurbin,https://www.facebook.com/SenatorDurbin,Senate
27,Mike Braun,Indiana,@Braun4Indiana,https://www.facebook.com/mikebraunforindiana/,Senate
28,Todd Young,Indiana,SenToddYoung,https://www.facebook.com/RepToddYoung,Senate
29,Chuck Grassley,Iowa,@ChuckGrassley,https://www.facebook.com/grassley,Senate
30,Joni Ernst,Iowa,@SenJoniErnst,https://www.facebook.com/senjoniernst,Senate
31,Pat Roberts,Kansas,@SenPatRoberts,https://www.facebook.com/SenPatRoberts,Senate
32,Jerry Moran,Kansas,@JerryMoran,https://www.facebook.com/jerrymoran,Senate
33,Rand Paul,Kentucky,@RandPaul,https://www.facebook.com/SenatorRandPaul,Senate
34,Mitch McConnell,Kentucky,@McConnellPress,https://www.facebook.com/mitchmcconnell,Senate
35,"Kennedy, John",Louisiana,@JohnKennedyLA,https://www.facebook.com/JohnKennedyLouisiana,Senate
36,Bill Cassidy,Louisiana,@BillCassidy,https://www.facebook.com/billcassidy,Senate
37,Angus King,Maine,@SenAngusKing,https://www.facebook.com/SenatorAngusSKingJr,Senate
38,Susan Collins,Maine,@SenatorCollins,https://www.facebook.com/susancollins,Senate
39,Chris Van Hollen,Maryland,@ChrisVanHollen,https://www.facebook.com/ChrisVanHollen,Senate
40,Benjamin Cardin,Maryland,@SenatorCardin,https://www.facebook.com/senatorbencardin,Senate
41,Elizabeth Warren,Massachusetts,@SenWarren,https://www.facebook.com/senatorelizabethwarren,Senate
42,Edward Markey,Massachusetts,@SenMarkey,https://www.facebook.com/EdJMarkey,Senate
43,Debbie Stabenow,Michigan,@SenStabenow,https://www.facebook.com/stabenow,Senate
44,Gary Peters,Michigan,@SenGaryPeters,https://www.facebook.com/SenGaryPeters,Senate
45,Amy Klobuchar,Minnesota,@amyklobuchar,https://www.facebook.com/amyklobuchar,Senate
46,Tina Smith,Minnesota,@SenTinaSmith,https://www.facebook.com/USSenTinaSmith/,Senate
47,Roger Wicker,Mississippi,@SenatorWicker,https://www.facebook.com/wicker,Senate
48,Cindy Hyde-Smith,Mississippi,@SenHydeSmith,https://www.facebook.com/CindyHydeSmith2018/,Senate
49,Josh Hawley,Missouri,@HawleyMO,https://www.facebook.com/SenatorHawley/,Senate
50,Roy Blunt,Missouri,@RoyBlunt,https://www.facebook.com/SenatorBlunt,Senate
51,Jon Tester,Montana,@SenatorTester,https://www.facebook.com/senatortester,Senate
52,Steve Daines,Montana,@SteveDaines,https://www.facebook.com/SteveDainesMT,Senate
53,Ben Sasse,Nebraska,@SenSasse,https://www.facebook.com/SenatorSasse,Senate
54,Deb Fischer,Nebraska,@SenatorFischer,https://www.facebook.com/senatordebfischer,Senate
55,Jacky Rosen,Nevada,@SenJackyRosen,https://www.facebook.com/SenJackyRosen/,Senate
56,Catherine Cortez Mastro,Nevada,@CatherineForNV,https://www.facebook.com/catherinecortezmastro,Senate
57,Jeanne Shaheen,New Hampshire,@SenatorShaheen,https://www.facebook.com/SenatorShaheen,Senate
58,Maggie Hassan,New Hampshire,@Maggie_Hassan,https://www.facebook.com/SenatorHassan,Senate
59,Robert Menendez,New Jersey,@SenatorMenendez,https://www.facebook.com/senatormenendez,Senate
60,Cory Booker,New Jersey,@CoryBooker,https://www.facebook.com/corybooker,Senate
61,Tom Udall,New Mexico,@SenatorTomUdall,https://www.facebook.com/senatortomudall,Senate
62,Martin Heinrich,New Mexico,@MartinHeinrich,https://www.facebook.com/MartinHeinrich,Senate
63,Chuck Schumer,New York,@SenSchumer,https://www.facebook.com/chuckschumer,Senate
64,Kirsten Gillibrand,New York,@SenGillibrand,https://www.facebook.com/KirstenGillibrand,Senate
65,Thom Tillis,North Carolina,@SenThomTillis,https://www.facebook.com/SenatorThomTillis,Senate
66,Richard Burr,North Carolina,@SenatorBurr,https://www.facebook.com/SenatorRichardBurr,Senate
67,John Hoeven,North Dakota,@SenJohnHoeven,https://www.facebook.com/SenatorJohnHoeven,Senate
68,Kevin Cramer,North Dakota,@SenKevinCramer,https://www.facebook.com/SenatorKevinCramer/,Senate
69,Rob Portman,Ohio,@senrobportman,https://www.facebook.com/robportman,Senate
70,Sherrod Brown,Ohio,@SenSherrodBrown,https://www.facebook.com/sherrod,Senate
71,James Lankford,Oklahoma,@SenatorLankford,https://www.facebook.com/SenatorLankford,Senate
72,Jim Inhofe,Oklahoma,@InhofePress,https://www.facebook.com/jiminhofe,Senate
73,Ron Wyden,Oregon,@RonWyden,https://www.facebook.com/wyden,Senate
74,Jeff Merkley,Oregon,@SenJeffMerkley,https://www.facebook.com/jeffmerkley,Senate
75,Patrick Toomey,Pennsylvania,@SenToomey,https://www.facebook.com/senatortoomey,Senate
76,"Bob Casey, Jr.",Pennsylvania,@SenBobCasey,https://www.facebook.com/SenatorBobCasey,Senate
77,Sheldon Whitehouse,Rhode Island,@SenWhitehouse,https://www.facebook.com/SenatorWhitehouse,Senate
78,Jack Reed,Rhode Island,@SenJackReed,https://www.facebook.com/SenJackReed,Senate
79,Tim Scott,South Carolina,@SenatorTimScott,https://www.facebook.com/SenatorTimScott,Senate
80,Lindsey Graham,South Carolina,@GrahamBlog,https://www.facebook.com/USSenatorLindseyGraham,Senate
81,John Thune,South Dakota,@SenJohnThune,https://www.facebook.com/johnthune,Senate
82,Mike Rounds,South Dakota,@SenatorRounds,https://www.facebook.com/SenatorMikeRounds,Senate
83,Marsha Blackburn,Tennessee,@MarshaBlackburn,https://www.facebook.com/marshablackburn/,Senate
84,Lamar Alexander,Tennessee,@SenAlexander,https://www.facebook.com/senatorlamaralexander,Senate
85,Ted Cruz,Texas,@SenTedCruz,https://www.facebook.com/SenatorTedCruz,Senate
86,John Cornyn,Texas,@JohnCornyn,https://www.facebook.com/Sen.JohnCornyn,Senate
87,Mike Lee,Utah,@SenMikeLee,https://www.facebook.com/senatormikelee,Senate
88,Mitt Romney,Utah,@SenatorRomney,https://www.facebook.com/senatorromney/,Senate
89,Bernie Sanders,Vermont,@SenSanders,https://www.facebook.com/senatorsanders,Senate
90,Patrick Leahy,Vermont,@SenatorLeahy,https://www.facebook.com/SenatorPatrickLeahy,Senate
91,Mark Warner,Virginia,@MarkWarner,https://www.facebook.com/MarkRWarner,Senate
92,Tim Kaine,Virginia,@timkaine,https://www.facebook.com/SenatorKaine,Senate
93,Patty Murray,Washington,@PattyMurray,https://www.facebook.com/pattymurray,Senate
94,Maria Cantwell,Washington,@SenMikeLee,https://www.facebook.com/senatorcantwell,Senate
95,Joe Manchin,West Virginia,@Sen_JoeManchin,https://www.facebook.com/JoeManchinIII,Senate
96,Shelley Moore Capito,West Virginia,@SenCapito,https://www.facebook.com/senshelley,Senate
97,Ron Johnson,Wisconsin,@SenRonJohnson,https://www.facebook.com/senronjohnson,Senate
98,Tammy Baldwin,Wisconsin,@SenatorBaldwin,https://www.facebook.com/senatortammybaldwin,Senate
99,Mike Enzi,Wyoming,@SenatorEnzi,https://www.facebook.com/mikeenzi,Senate
100,John Barrasso,Wyoming,@SenJohnBarrasso,https://www.facebook.com/johnbarrasso,Senate
101,"Byrne, Bradley",Alabama 1st District,@RepByrne,https://www.facebook.com/RepByrne,House
102,"Roby, Martha",Alabama 2nd District,@RepMarthaRoby,https://www.facebook.com/Representative.Martha.Roby/,House
103,"Rogers, Mike",Alabama 3rd District,@RepMikeRogersAL,https://www.facebook.com/pages/Mike-Rogers/6406874733?sk=wall,House
104,"Aderholt, Robert",Alabama 4th District,@Robert_Aderholt,https://www.facebook.com/RobertAderholt,House
105,"Brooks, Mo",Alabama 5th District,@RepMoBrooks,https://www.facebook.com/RepMoBrooks,House
106,"Palmer, Gary",Alabama 6th District,@USRepGaryPalmer,https://www.facebook.com/USRepresentativeGaryPalmer,House
107,"Sewell, Terri A.",Alabama 7th District,@RepTerriSewell,https://www.facebook.com/RepSewell,House
108,"Young, Don",Alaska At-Large,@repdonyoung,https://www.facebook.com/RepDonYoung,House
109,"Radewagen, Amata",American Samoa At-Large,@RepAmata,https://www.facebook.com/congresswomanaumuaamata,House
110,"O’Halleran, Tom",Arizona 1st District,@TomOHalleran,https://www.facebook.com/OhalleranforAZ,House
111,"Kirkpatrick, Ann",Arizona 2nd District,@RepKirkPatrick,https://www.facebook.com/RepAnnKirkpatrick/,House
112,"Grijalva, Raul",Arizona 3rd District,@RepRaulGrijalva,https://www.facebook.com/Rep.Grijalva,House
113,"Gosar, Paul A.",Arizona 4th District,@RepGosar,https://www.facebook.com/repgosar,House
114,"Biggs, Andy",Arizona 5th District,@AndyBiggs4AZ,https://www.facebook.com/biggsforcongress,House
115,"Schweikert, David",Arizona 6th District,@RepDavid,https://www.facebook.com/repdavidschweikert,House
116,"Gallego, Ruben",Arizona 7th District,@RepRubenGallego,https://www.facebook.com/RepRubenGallego,House
117,"Lesko, Debbie",Arizona 8th District,@RepDLesko,https://www.facebook.com/RepDebbieLesko/,House
118,"Stanton, Greg",Arizona 9th District,@RepGregStanton,https://www.facebook.com/repgregstanton/,House
119,"Crawford, Rick",Arkansas 1st District,@RepRickCrawford,https://www.facebook.com/RepRickCrawford,House
120,"Hill, French",Arkansas 2nd District,@RepFrenchHill,https://www.facebook.com/RepFrenchHill,House
121,"Womack, Steve",Arkansas 3rd District,@rep_stevewomack,https://www.facebook.com/RepSteveWomack?v=wall,House
122,"Westerman, Bruce",Arkansas 4th District,@RepWesterman,https://www.facebook.com/RepWesterman,House
123,"Harder, Josh",California 10th District,@RepJoshHarder,https://www.facebook.com/RepJoshHarder/,House
124,"DeSaulnier, Mark",California 11th District,@RepDeSaulnier,https://www.facebook.com/RepMarkDeSaulnier,House
125,"Pelosi, Nancy",California 12th District,SpeakerPelosi,https://www.facebook.com/NancyPelosi,House
126,"Lee, Barbara",California 13th District,@RepBarbaraLee,https://www.facebook.com/RepBarbaraLee,House
127,"Speier, Jackie",California 14th District,@RepSpeier,https://www.facebook.com/JackieSpeier,House
128,"Swalwell, Eric",California 15th District,@RepSwalwell,https://www.facebook.com/CongressmanEricSwalwell,House
129,"Costa, Jim",California 16th District,@RepJimCosta,https://www.facebook.com/RepJimCosta,House
130,"Khanna, Ro",California 17th District,RoKhanna,https://www.facebook.com/Ro_Khanna,House
131,"Eshoo, Anna G.",California 18th District,@RepAnnaEshoo,https://www.facebook.com/RepAnnaEshoo,House
132,"Lofgren, Zoe",California 19th District,@RepZoeLofgren,https://www.facebook.com/zoelofgren,House
133,"LaMalfa, Doug",California 1st District,@RepLaMalfa,https://www.facebook.com/RepLaMalfa,House
134,"Panetta, Jimmy",California 20th District,@JimmyPanetta,https://www.facebook.com/JimmyPanettaForCongress,House
135,"Cox, TJ",California 21st District,@RepTJCox,https://www.facebook.com/RepTJCox/,House
136,"Nunes, Devin",California 22nd District,DevinNunes,https://www.facebook.com/Devin-Nunes-376470350795,House
137,"McCarthy, Kevin",California 23rd District,@GOPLeader,https://www.facebook.com/CongressmanKevinMcCarthy,House
138,"Carbajal, Salud",California 24th District,@CarbajalSalud,https://www.facebook.com/RepSaludCarbajal,House
139,"Hill, Katie",California 25th District,@RepKatieHill,https://www.facebook.com/RepKatieHill/,House
140,"Brownley, Julia",California 26th District,RepBrownley,https://www.facebook.com/RepJuliaBrownley,House
141,"Chu, Judy",California 27th District,@RepJudyChu,https://www.facebook.com/repjudychu,House
142,"Schiff, Adam",California 28th District,@RepAdamSchiff,https://www.facebook.com/RepAdamSchiff,House
143,"Cárdenas, Tony",California 29th District,@RepCardenas,https://www.facebook.com/repcardenas,House
144,"Huffman, Jared",California 2nd District,@RepHuffman,https://www.facebook.com/RepHuffman,House
145,"Sherman, Brad",California 30th District,@BradSherman,https://www.facebook.com/CongressmanBradSherman,House
146,"Aguilar, Pete",California 31st District,@RepPeteAguilar,https://www.facebook.com/reppeteaguilar,House
147,"Napolitano, Grace",California 32nd District,@gracenapolitano,https://www.facebook.com/RepGraceNapolitano,House
148,"Lieu, Ted",California 33rd District,@RepTedLieu,https://www.facebook.com/RepTedLieu,House
149,"Gomez, Jimmy",California 34th District,@RepJimmyGomez,https://www.facebook.com/RepJimmyGomez/,House
150,"Torres, Norma",California 35th District,@NormaJTorres,https://www.facebook.com/RepNormaTorres,House
151,"Ruiz, Raul",California 36th District,@CongressmanRuiz,https://www.facebook.com/CongressmanRaulRuizMD,House
152,"Bass, Karen",California 37th District,@RepKarenBass,https://www.facebook.com/RepKarenBass,House
153,"Sánchez, Linda",California 38th District,@RepLindaSanchez,https://www.facebook.com/CongresswomanLindaSanchez,House
154,"Cisneros, Gilbert Ray Jr.",California 39th District,@RepGilCisneros,https://www.facebook.com/RepGilCisneros,House
155,"Garamendi, John",California 3rd District,@RepGaramendi,https://www.facebook.com/repgaramendi,House
156,"Roybal-Allard, Lucille",California 40th District,@RepRoybalAllard,https://www.facebook.com/RepRoybalAllard,House
157,"Takano, Mark",California 41st District,@RepMarkTakano,https://www.facebook.com/RepMarkTakano,House
158,"Calvert, Ken",California 42nd District,@KenCalvert,https://www.facebook.com/CalvertforCongress,House
159,"Waters, Maxine",California 43rd District,@MaxineWaters,https://www.facebook.com/MaxineWaters,House
160,"Barragan, Nanette",California 44th District,@Nanette4CA,https://www.facebook.com/NanetteBarraganforCongress,House
161,"Porter, Katie",California 45th District,@RepKatiePorter,https://www.facebook.com/repkatieporter/,House
162,"Correa, Lou",California 46th Division,RepLouCorrea,https://www.facebook.com/LouCorreaCA,House
163,"Lowenthal, Alan",California 47th District,@RepLowenthal,https://www.facebook.com/RepLowenthal,House
164,"Rouda, Harley",California 48th District,@RepHarley,https://www.facebook.com/RepHarley,House
165,"Levin, Mike",California 49th District,@RepMikeLevin,https://www.facebook.com/RepMikeLevin,House
166,"McClintock, Tom",California 4th District,@RepMcClintock,https://www.facebook.com/Congressman-Tom-McClintock-81125319109,House
167,"Hunter, Duncan D.",California 50th District,@Rep_Hunter,https://www.facebook.com/DuncanHunter,House
168,"Vargas, Juan",California 51st District,@RepJuanVargas,https://www.facebook.com/RepJuanVargas,House
169,"Peters, Scott",California 52nd District,@RepScottPeters,https://www.facebook.com/scottpeterssandiego,House
170,"Davis, Susan",California 53rd District,@RepSusanDavis,https://www.facebook.com/RepSusanDavis,House
171,"Thompson, Mike",California 5th District,@RepThompson,https://www.facebook.com/RepMikeThompson,House
172,"Matsui, Doris O.",California 6th District,@DorisMatsui,https://www.facebook.com/doris.matsui,House
173,"Bera, Ami",California 7th District,@RepBera,https://www.facebook.com/RepAmiBera,House
174,"Cook, Paul",California 8th District,@RepPaulCook,https://www.facebook.com/RepPaulCook,House
175,"McNerney, Jerry",California 9th District,@RepMcNerney,https://www.facebook.com/jerrymcnerney,House
176,"DeGette, Diana",Colorado 1st District,@RepDianaDeGette,https://www.facebook.com/DianaDeGette,House
177,"Neguse, Joe",Colorado 2nd District,@RepJoeNeguse,https://www.facebook.com/RepJoeNeguse/,House
178,"Tipton, Scott",Colorado 3rd District,@RepTipton,https://www.facebook.com/CongressmanScottTipton,House
179,"Buck, Ken",Colorado 4th District,@RepKenBuck,https://www.facebook.com/repkenbuck,House
180,"Lamborn, Doug",Colorado 5th District,@RepDLamborn,https://www.facebook.com/CongressmanDougLamborn,House
181,"Crow, Jason",Colorado 6th District,@RepJasonCrow,https://www.facebook.com/RepJasonCrow,House
182,"Perlmutter, Ed",Colorado 7th District,@RepPerlmutter,https://www.facebook.com/RepPerlmutter?v=info&tab=page_info,House
183,"Larson, John B.",Connecticut 1st District,@RepJohnLarson,https://www.facebook.com/RepJohnLarson,House
184,"Courtney, Joe",Connecticut 2nd District,@RepJoeCourtney,https://www.facebook.com/joecourtney,House
185,"DeLauro, Rosa L.",Connecticut 3rd District,@rosadelauro,https://www.facebook.com/CongresswomanRosaDeLauro?v=wall,House
186,"Himes, Jim",Connecticut 4th District,@jahimes,https://www.facebook.com/CongressmanJimHimes,House
187,"Hayes, Jahana",Connecticut 5th District,@RepJahanaHayes,https://www.facebook.com/RepJahanaHayes,House
188,"Blunt Rochester, Lisa",Delaware At-Large,@LisaBRochester,https://www.facebook.com/LisaBluntRochester,House
189,"Norton, Eleanor Holmes",District of Columbia At-Large,@EleanorNorton,https://www.facebook.com/CongresswomanNorton?sid=86d3965b+ff3b64843d69f30c5e40e361&ref=s,House
190,"Demings, Val",Florida 10th District,@Val_Demings,https://www.facebook.com/Val.Demings,House
191,"Webster, Daniel",Florida 11th District,@RepWebster,https://www.facebook.com/RepWebster,House
